accepitedID	vernacularName	Language	Country
3	___-_____	Hebrew	Israel
7	Acker-Ringelblume 	German	
7	Åkerringblomma 	Swedish	
7	Akkergoudsbloem 	Dutch	
7	Bile_ 	Croat	
7	Field Marigold 	English	
7	Fiorrancio bicolore 	Italian	
7	Fiorrancio selvatico 	Italian	
7	Nechtík ro_n_ 	Slovak	
7	Njivski ognji_ 	Slovene	
7	Poljski neven 	Croat	
7	Prstac babji 	Croat	
7	Souci des champs 	French	
7	Souci sauvage 	French	
7	Spavujka 	Croat	
7	Suffejra tar-raba 	Maltese	
7	Zimozelen 	Croat	
7	_________ __________ 	Russian	
7	______ _________ 	Armenian	
7	______-____ ______ 	Hebrew	Israel 
7	__________-______ _________ 	Hebrew	Israel 
7	Fleur de tous les mois 	French	
7	Gauchefer 	French	
7	Souci des Vignes 	French	
7	______-____ ______ 	Hebrew	Israel 
6	Fiorrancio 	Italian	
6	Goudsbloem 	Dutch	
6	Ringblommor 	Swedish	
6	Ringelblume 	German	
6	_________ 	Russian	
6	______ 	Armenian	
6	______-____ 	Hebrew	Israel 
6	Marigold 	English	
6	_______ 	Armenian	
